"STATION","NAME","DATE","PRCP","TAVG"
"ASN00009021","PERTH AIRPORT, AS","1951-09","38.3","14.8"
"ASN00009021","PERTH AIRPORT, AS","1951-10","50.2","15.9"
"ASN00009021","PERTH AIRPORT, AS","1951-11","15.8","18.1"
"ASN00009021","PERTH AIRPORT, AS","1951-12","65.5","20.4"
"ASN00009021","PERTH AIRPORT, AS","1952-01","3.6","23.1"
"ASN00009021","PERTH AIRPORT, AS","1952-02","4.8","24.2"
"ASN00009021","PERTH AIRPORT, AS","1952-03","29.4","21.9"
"ASN00009021","PERTH AIRPORT, AS","1952-04","3.8","19.9"
"ASN00009021","PERTH AIRPORT, AS","1952-05","121.7","14.7"
"ASN00009021","PERTH AIRPORT, AS","1952-06","224.0","14.2"
"ASN00009021","PERTH AIRPORT, AS","1952-07","204.1","11.4"
"ASN00009021","PERTH AIRPORT, AS","1952-08","95.1","13.0"
"ASN00009021","PERTH AIRPORT, AS","1952-09","87.4","13.4"
"ASN00009021","PERTH AIRPORT, AS","1952-10","68.8","15.2"
"ASN00009021","PERTH AIRPORT, AS","1952-11","19.6","17.2"
"ASN00009021","PERTH AIRPORT, AS","1952-12","46.2","19.0"
"ASN00009021","PERTH AIRPORT, AS","1953-01","0.8","22.9"
"ASN00009021","PERTH AIRPORT, AS","1953-02","33.4","22.1"
"ASN00009021","PERTH AIRPORT, AS","1953-03","4.4","22.3"
"ASN00009021","PERTH AIRPORT, AS","1953-04","28.5","18.4"
"ASN00009021","PERTH AIRPORT, AS","1953-05","165.9","15.9"
"ASN00009021","PERTH AIRPORT, AS","1953-06","227.5","13.3"
"ASN00009021","PERTH AIRPORT, AS","1953-07","153.2","12.7"
"ASN00009021","PERTH AIRPORT, AS","1953-08","84.2","12.3"
"ASN00009021","PERTH AIRPORT, AS","1953-09","55.1","14.5"
"ASN00009021","PERTH AIRPORT, AS","1953-10","83.8","14.9"
"ASN00009021","PERTH AIRPORT, AS","1953-11","36.9","17.9"
"ASN00009021","PERTH AIRPORT, AS","1953-12","0.3","19.6"
"ASN00009021","PERTH AIRPORT, AS","1954-01","14.3","24.3"
"ASN00009021","PERTH AIRPORT, AS","1954-02","0.5","24.1"
"ASN00009021","PERTH AIRPORT, AS","1954-03","0.8","20.6"
"ASN00009021","PERTH AIRPORT, AS","1954-04","29.4","16.7"
"ASN00009021","PERTH AIRPORT, AS","1954-05","125.1","14.7"
"ASN00009021","PERTH AIRPORT, AS","1954-06","118.0","12.5"
"ASN00009021","PERTH AIRPORT, AS","1954-07","168.5","12.6"
"ASN00009021","PERTH AIRPORT, AS","1954-08","156.4","12.5"
"ASN00009021","PERTH AIRPORT, AS","1954-09","40.4","14.8"
"ASN00009021","PERTH AIRPORT, AS","1954-10","19.9","16.8"
"ASN00009021","PERTH AIRPORT, AS","1954-11","25.0","15.9"
"ASN00009021","PERTH AIRPORT, AS","1954-12","9.0","20.7"
"ASN00009021","PERTH AIRPORT, AS","1955-01","3.1","24.4"
"ASN00009021","PERTH AIRPORT, AS","1955-02","120.7","26.1"
"ASN00009021","PERTH AIRPORT, AS","1955-03","6.3","23.1"
"ASN00009021","PERTH AIRPORT, AS","1955-04","68.8","18.6"
"ASN00009021","PERTH AIRPORT, AS","1955-05","107.5","15.0"
"ASN00009021","PERTH AIRPORT, AS","1955-06","107.1","11.2"
"ASN00009021","PERTH AIRPORT, AS","1955-07","162.9","11.9"
"ASN00009021","PERTH AIRPORT, AS","1955-08","340.3","13.3"
"ASN00009021","PERTH AIRPORT, AS","1955-09","104.2","14.0"
"ASN00009021","PERTH AIRPORT, AS","1955-10","124.5","14.4"
"ASN00009021","PERTH AIRPORT, AS","1955-11","6.7","17.7"
"ASN00009021","PERTH AIRPORT, AS","1955-12","12.6","21.1"
"ASN00009021","PERTH AIRPORT, AS","1956-01","0.0","25.4"
"ASN00009021","PERTH AIRPORT, AS","1956-02","1.3","24.2"
"ASN00009021","PERTH AIRPORT, AS","1956-03","31.6","23.0"
"ASN00009021","PERTH AIRPORT, AS","1956-04","50.8","17.2"
"ASN00009021","PERTH AIRPORT, AS","1956-05","220.9","14.1"
"ASN00009021","PERTH AIRPORT, AS","1956-06","181.3","11.7"
"ASN00009021","PERTH AIRPORT, AS","1956-07","202.2","11.9"
"ASN00009021","PERTH AIRPORT, AS","1956-08","29.7","11.2"
"ASN00009021","PERTH AIRPORT, AS","1956-09","53.5","14.1"
"ASN00009021","PERTH AIRPORT, AS","1956-10","28.3","14.6"
"ASN00009021","PERTH AIRPORT, AS","1956-11","35.2","18.9"
"ASN00009021","PERTH AIRPORT, AS","1956-12","4.6","20.4"
"ASN00009021","PERTH AIRPORT, AS","1957-01","10.9","24.3"
"ASN00009021","PERTH AIRPORT, AS","1957-02","0.5","23.3"
"ASN00009021","PERTH AIRPORT, AS","1957-03","5.1","21.7"
"ASN00009021","PERTH AIRPORT, AS","1957-04","64.0","18.3"
"ASN00009021","PERTH AIRPORT, AS","1957-05","94.5","15.9"
"ASN00009021","PERTH AIRPORT, AS","1957-06","301.2","14.1"
"ASN00009021","PERTH AIRPORT, AS","1957-07","100.2","11.1"
"ASN00009021","PERTH AIRPORT, AS","1957-08","151.0","13.3"
"ASN00009021","PERTH AIRPORT, AS","1957-09","38.2","13.8"
"ASN00009021","PERTH AIRPORT, AS","1957-10","50.0","16.5"
"ASN00009021","PERTH AIRPORT, AS","1957-11","1.3","19.4"
"ASN00009021","PERTH AIRPORT, AS","1957-12","2.1","22.1"
"ASN00009021","PERTH AIRPORT, AS","1958-01","10.2","25.6"
"ASN00009021","PERTH AIRPORT, AS","1958-02","0.6","23.9"
"ASN00009021","PERTH AIRPORT, AS","1958-03","0.5","22.7"
"ASN00009021","PERTH AIRPORT, AS","1958-04","12.6","17.7"
"ASN00009021","PERTH AIRPORT, AS","1958-05","111.2","16.6"
